filename_fastq	filename_fast5	parent_read_id	read_id	run_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	5fc9c038-de35-4fef-aaaa-a266cfcba195	5fc9c038-de35-4fef-aaaa-a266cfcba195	8dac5155923d1ba769fdc746f0547a7ff4270a5a	146	1	64.040250	2.522750	2018	TRUE	64.074000	1991	2.489000	1118	10.961481	3.056529	109.981186	10.875333	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	020ef301-8350-488d-8633-ecd166b815b2	020ef301-8350-488d-8633-ecd166b815b2	8dac5155923d1ba769fdc746f0547a7ff4270a5a	414	1	65.244750	2.439500	1951	FALSE	65.273500	1928	2.410750	942	4.416573	2.552529	58.060242	8.595020	not_set	ASFV_chronic	no_sample	signal_negative
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	b8fc3117-3b0c-4982-a214-c6ae35a8a341	b8fc3117-3b0c-4982-a214-c6ae35a8a341	8dac5155923d1ba769fdc746f0547a7ff4270a5a	256	2	83.572250	1.813250	1450	TRUE	83.597250	1430	1.788250	683	8.327349	2.795109	85.599388	10.349107	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	60a3400d-f9e5-4504-a6a3-8e770bd1e44d	60a3400d-f9e5-4504-a6a3-8e770bd1e44d	8dac5155923d1ba769fdc746f0547a7ff4270a5a	16	2	86.336500	0.927000	741	TRUE	86.425250	670	0.838250	333	11.955330	3.016792	92.440323	10.349107	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	74e80c7c-41bf-48ba-ab22-1a1bdce2db42	74e80c7c-41bf-48ba-ab22-1a1bdce2db42	8dac5155923d1ba769fdc746f0547a7ff4270a5a	349	2	87.467500	1.359750	1087	TRUE	87.497500	1063	1.329750	552	10.818809	2.980051	80.161728	10.173698	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	32a711f1-6718-4aa0-9bfd-37ad20e06e6d	32a711f1-6718-4aa0-9bfd-37ad20e06e6d	8dac5155923d1ba769fdc746f0547a7ff4270a5a	412	2	83.542000	7.928500	6342	FALSE	83.638250	6265	7.832250	878	6.745611	2.243509	82.968262	9.296655	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	6750b224-7ec7-443e-b18b-d997a340525b	6750b224-7ec7-443e-b18b-d997a340525b	8dac5155923d1ba769fdc746f0547a7ff4270a5a	211	3	108.882750	1.063250	850	FALSE	108.967750	782	0.978250	367	7.010536	2.706322	88.055107	5.963892	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	2ba4b133-2072-4aec-84be-2a7c4a8df1ff	2ba4b133-2072-4aec-84be-2a7c4a8df1ff	8dac5155923d1ba769fdc746f0547a7ff4270a5a	208	3	114.587250	0.602250	481	TRUE	114.627250	449	0.562250	291	10.735594	3.222751	82.968262	11.576966	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	d75cac00-a99e-45aa-adfe-a16490bb98fe	d75cac00-a99e-45aa-adfe-a16490bb98fe	8dac5155923d1ba769fdc746f0547a7ff4270a5a	109	3	114.294250	0.812250	649	TRUE	114.323000	626	0.783500	210	9.129555	2.537445	79.810905	10.524515	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	d7f45d17-cac1-448a-bdf7-50f1b746be3b	d7f45d17-cac1-448a-bdf7-50f1b746be3b	8dac5155923d1ba769fdc746f0547a7ff4270a5a	206	2	158.605000	0.612250	489	TRUE	158.648750	454	0.568500	272	8.712033	2.990723	78.583046	10.524515	not_set	ASFV_chronic	no_sample	signal_positive
